"Base Currency","Target Currency",Rate
RON,AUD,0.332023
RON,BGN,0.391927
RON,CAD,0.300728
RON,CHF,0.188557
RON,CNY,1.537174
RON,CZK,5.02546
RON,DKK,1.499933
RON,EUR,0.201082
RON,GBP,0.167405
RON,HUF,82.113625
RON,ILS,0.761282
RON,JPY,32.487132
RON,MDL,3.844913
RON,NOK,2.353811
RON,PLN,0.857102
RON,RON,1
RON,RSD,23.530246
RON,RUB,22.088881
RON,SEK,2.31792
RON,TRY,7.380678
RON,USD,0.211285
EUR,AUD,1.651186
EUR,BGN,1.949092
EUR,CAD,1.49555
EUR,CHF,0.937712
EUR,CNY,7.644524
EUR,CZK,24.992119
EUR,DKK,7.459321
EUR,EUR,1
EUR,GBP,0.832523
EUR,HUF,408.359322
EUR,ILS,3.785933
EUR,JPY,161.561798
EUR,MDL,19.121141
EUR,NOK,11.705741
EUR,PLN,4.262454
EUR,RON,4.973101
EUR,RSD,117.018286
EUR,RUB,109.850231
EUR,SEK,11.527252
EUR,TRY,36.704857
EUR,USD,1.05074
USD,AUD,1.57145
USD,BGN,1.85497
USD,CAD,1.42333
USD,CHF,0.89243
USD,CNY,7.275371
USD,CZK,23.785253
USD,DKK,7.099111
USD,EUR,0.95171
USD,GBP,0.79232
USD,HUF,388.639722
USD,ILS,3.60311
USD,JPY,153.759989
USD,MDL,18.197784
USD,NOK,11.140472
USD,PLN,4.056621
USD,RON,4.732951
USD,RSD,111.367492
USD,RUB,104.545581
USD,SEK,10.970602
USD,TRY,34.932385
USD,USD,1
GBP,AUD,1.983353
GBP,BGN,2.341188
GBP,CAD,1.796408
GBP,CHF,1.12635
GBP,CNY,9.182362
GBP,CZK,30.01975
GBP,DKK,8.959902
GBP,EUR,1.201169
GBP,GBP,1
GBP,HUF,490.50844
GBP,ILS,4.547544
GBP,JPY,194.062953
GBP,MDL,22.967715
GBP,NOK,14.060568
GBP,PLN,5.119926
GBP,RON,5.973533
GBP,RSD,140.558701
GBP,RUB,131.948658
GBP,SEK,13.846173
GBP,TRY,44.088725
GBP,USD,1.262116
HUF,AUD,0.004043
HUF,BGN,0.004773
HUF,CAD,0.003662
HUF,CHF,0.002296
HUF,CNY,0.01872
HUF,CZK,0.061201
HUF,DKK,0.018267
HUF,EUR,0.002449
HUF,GBP,0.002039
HUF,HUF,1
HUF,ILS,0.009271
HUF,JPY,0.395636
HUF,MDL,0.046824
HUF,NOK,0.028665
HUF,PLN,0.010438
HUF,RON,0.012178
HUF,RSD,0.286557
HUF,RUB,0.269004
HUF,SEK,0.028228
HUF,TRY,0.089884
HUF,USD,0.002573
PLN,AUD,0.387379
PLN,BGN,0.45727
PLN,CAD,0.350866
PLN,CHF,0.219993
PLN,CNY,1.793456
PLN,CZK,5.863317
PLN,DKK,1.750006
PLN,EUR,0.234607
PLN,GBP,0.195315
PLN,HUF,95.803811
PLN,ILS,0.888205
PLN,JPY,37.903467
PLN,MDL,4.485947
PLN,NOK,2.746244
PLN,PLN,1
PLN,RON,1.166722
PLN,RSD,27.453267
PLN,RUB,25.771594
PLN,SEK,2.70437
PLN,TRY,8.611203
PLN,USD,0.246511
CHF,AUD,1.760867
CHF,BGN,2.078561
CHF,CAD,1.594893
CHF,CHF,1
CHF,CNY,8.152315
CHF,CZK,26.652231
CHF,DKK,7.954809
CHF,EUR,1.066425
CHF,GBP,0.887823
CHF,HUF,435.48478
CHF,ILS,4.037415
CHF,JPY,172.293595
CHF,MDL,20.391271
CHF,NOK,12.483299
CHF,PLN,4.545589
CHF,RON,5.303441
